Município,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
140030 MUCAJAI,2.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,7.0,9.0,7.0,2.0,2.0,1.0,2.0,3.0,,1.0,53.0
140040 NORMANDIA,,,1.0,,1.0,1.0,1.0,,4.0,4.0,1.0,1.0,,,3.0,,2.0,,19.0
140045 PACARAIMA,,1.0,2.0,5.0,,1.0,2.0,2.0,6.0,2.0,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,31.0
140047 RORAINOPOLIS,,,6.0,6.0,4.0,8.0,3.0,7.0,15.0,2.0,5.0,3.0,3.0,4.0,7.0,11.0,7.0,3.0,94.0
140050 SAO JOAO DA BALIZA,,,,,,2.0,2.0,3.0,2.0,2.0,2.0,2.0,,,1.0,6.0,2.0,3.0,27.0
140060 SAO LUIZ,,,1.0,,,2.0,1.0,,,1.0,1.0,2.0,,,,3.0,,2.0,13.0
140070 UIRAMUTA,,,1.0,,,,,1.0,4.0,5.0,2.0,1.0,,1.0,1.0,,,,16.0
150010 ABAETETUBA,9.0,19.0,24.0,24.0,26.0,24.0,39.0,45.0,39.0,39.0,45.0,50.0,46.0,51.0,55.0,67.0,70.0,47.0,719.0
150013 ABEL FIGUEIREDO,,,,1.0,1.0,,3.0,,,2.0,,1.0,,,,,,2.0,10.0
150020 ACARA,5.0,7.0,12.0,7.0,9.0,11.0,18.0,15.0,20.0,26.0,24.0,22.0,11.0,20.0,13.0,22.0,14.0,10.0,266.0
150030 AFUA,1.0,1.0,4.0,3.0,2.0,,,1.0,2.0,,1.0,1.0,,2.0,1.0,1.0,,,20.0
150034 AGUA AZUL DO NORTE,7.0,1.0,4.0,2.0,1.0,5.0,2.0,7.0,1.0,2.0,1.0,2.0,6.0,9.0,15.0,9.0,12.0,7.0,93.0
150040 ALENQUER,4.0,,,1.0,2.0,,1.0,,,,1.0,5.0,1.0,5.0,10.0,10.0,19.0,14.0,73.0
150050 ALMEIRIM,13.0,,7.0,5.0,5.0,3.0,3.0,,6.0,3.0,6.0,8.0,1.0,2.0,,,1.0,5.0,68.0
150060 ALTAMIRA,2.0,4.0,118.0,100.0,62.0,5.0,6.0,6.0,1.0,6.0,2.0,3.0,5.0,7.0,3.0,4.0,1.0,10.0,345.0
150070 ANAJAS,,1.0,4.0,4.0,3.0,5.0,6.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,5.0,7.0,13.0,7.0,70.0
150080 ANANINDEUA,176.0,203.0,289.0,273.0,302.0,356.0,396.0,493.0,455.0,447.0,437.0,357.0,325.0,425.0,434.0,467.0,484.0,389.0,6708.0
150085 ANAPU,1.0,1.0,5.0,8.0,2.0,2.0,5.0,4.0,,6.0,,3.0,3.0,1.0,1.0,3.0,2.0,1.0,48.0
150090 AUGUSTO CORREA,4.0,1.0,6.0,6.0,7.0,5.0,11.0,3.0,21.0,31.0,21.0,24.0,25.0,34.0,47.0,65.0,40.0,30.0,381.0
150095 AURORA DO PARA,4.0,5.0,8.0,6.0,15.0,19.0,18.0,3.0,1.0,2.0,3.0,1.0,8.0,10.0,16.0,9.0,6.0,3.0,137.0
150100 AVEIRO,,,,,,,,,,,,1.0,,,,,,1.0,2.0
150110 BAGRE,,2.0,,1.0,1.0,1.0,2.0,4.0,2.0,4.0,,,3.0,,1.0,,,7.0,28.0
150120 BAIAO,,1.0,2.0,4.0,1.0,10.0,4.0,2.0,3.0,3.0,5.0,4.0,11.0,3.0,14.0,5.0,3.0,1.0,76.0
150125 BANNACH,4.0,1.0,3.0,2.0,1.0,,,,,,,3.0,3.0,4.0,8.0,4.0,5.0,2.0,40.0
150130 BARCARENA,9.0,29.0,30.0,36.0,42.0,37.0,31.0,50.0,46.0,37.0,30.0,48.0,72.0,58.0,66.0,75.0,86.0,72.0,854.0
150140 BELEM,631.0,599.0,820.0,771.0,668.0,974.0,1098.0,1162.0,1042.0,1047.0,1123.0,1057.0,1146.0,1267.0,1197.0,1399.0,1396.0,1206.0,18603.0
150145 BELTERRA,,3.0,8.0,3.0,6.0,3.0,1.0,3.0,,,1.0,,2.0,2.0,2.0,,,2.0,36.0
150150 BENEVIDES,352.0,353.0,289.0,281.0,180.0,208.0,217.0,96.0,74.0,39.0,34.0,34.0,50.0,46.0,30.0,62.0,75.0,51.0,2471.0
150157 BOM JESUS DO TOCANTINS,4.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,2.0,14.0,12.0,6.0,10.0,11.0,3.0,2.0,4.0,1.0,84.0
150160 BONITO,1.0,1.0,4.0,1.0,1.0,4.0,2.0,6.0,6.0,5.0,3.0,2.0,3.0,5.0,5.0,8.0,18.0,9.0,84.0
150170 BRAGANCA,5.0,12.0,14.0,30.0,22.0,25.0,22.0,24.0,86.0,168.0,142.0,182.0,226.0,252.0,311.0,242.0,200.0,166.0,2129.0
